Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1473438005486620675,Amici21,2021-12-21 23:39:30+00:00,0,Lui che arriva sempre dritto al cuore.💙   Amici21  alex  ,#Amici21#alex,5,0.6369,
1473437238797209600,Angélica,2021-12-21 23:36:27+00:00,0,Ogni anno non capisco questo programma  amici21 talent ? 🤔🤔 Forza  carola,#amici21#carola,4,0.4215,
1473434753764413451,Erika Di Biasi,2021-12-21 23:26:35+00:00,4,"Ancora ferma qui,alla dolcezza di Cristiano mentre lei si prendeva a pugni per dire ""Non vali nulla""💔Spero solo che stia meglio,che riesca a capire il suo potenziale e che le persone che le vogliono bene la incoraggino sempre di più.Dai Carolina💪🌸  Carola  Amici21  caroligi ",#Carola#Amici21#caroligi,1,-0.7269,Carola
1473431990791811073,Tony,2021-12-21 23:15:36+00:00,3,"E comunque sono proprio in questi momenti in cui Mattia sta male ed è triste che dovrebbe riavere il suo cellulare con Internet, perché  almeno potrebbe vedere tutto il costante affetto e il supporto che ogni giorno riceve rendendolo un po' felice! Non sei solo🙏🏼  Amici21  Mattia ",#Amici21#Mattia,3,0.0,Mattia
1473429721807560705,mattia casati,2021-12-21 23:06:35+00:00,1,ormai da sabato l’unica cosa che sento nelle orecchie è SIIIDUE STUPIDI LOVERS  Sissi  Amici21,#Sissi#Amici21,5,0.6289,
1473428937468436481,Tony,2021-12-21 23:03:28+00:00,3,Oggi ho saputo che Mattia è triste e giù di morale perché purtroppo gli fa ancora male la caviglia.. Mi dispiace davvero tanto sapere che stia così perché so quanto lui ci tenga e quanto sia una bravo ragazzo che si merita solo il meglio! Forza  🙏🏼 Amici21  Mattia ,#Amici21#Mattia,3,0.0,Mattia
1473428058921213958,Marta 🥑,2021-12-21 22:59:58+00:00,0,Fa male.  Amici21  carola  caroligi ,#Amici21#carola#caroligi,3,0.0,
1473423185555111942,Giorgia Nonis,2021-12-21 22:40:36+00:00,14,"Sostenitori/sostenitrici di Alex non molliamo proprio ora che manca davvero pochissimo, il sogno sta per diventare realtà ⭐️❤️‍🩹Streammate e comprate/regalate “Sogni al cielo” più che potete. Amici21  Alex  FIMIPlease retweet this tweet!•scrivimi in DM se vuoi una copia• ",#Amici21#Alex#FIMIPlease,3,0.0,Alex;Rea
1473421235371524098,lucr_00,2021-12-21 22:32:52+00:00,1,"E SE LO DICE DEDDY, MUTI TUTTI.  Amici21  Serena  caroligi ",#Amici21#Serena#caroligi,3,0.0,Serena
1473419979781455872,Wendy💫🤍💜 || MV33 WORLD CHAMPION🇳🇱🦁🧡,2021-12-21 22:27:52+00:00,4,Ma come si fa a spegnergli il sorriso? Io bho speriamo che si riprende presto che oggi Saverio ci ha fatto preoccupare 🤧🤍💜  Amici21  Mattia ,#Amici21#Mattia,5,0.765,Mattia
1473419402666201090,lu🕺,2021-12-21 22:25:35+00:00,8,queste due qui…💜  Amici21  caroligi  carola ,#Amici21#caroligi#carola,5,0.6369,
1473413006050705415,marimar,2021-12-21 22:00:09+00:00,0,"Bellisimo !!!! Siamo un bellisimo fandom come nostro protetto Alex 😍❤️ dai ragazzi che manca poco, sapete che ci sono tante fan page e persona che regalano il pezzo non avete paura di scriverli 😊  Amici21  alexwyse  Alex ",#Amici21#alexwyse#Alex,5,0.9094,Alex
1473412806401826819,Oblivion ~,2021-12-21 21:59:22+00:00,1,"Il countdown scende, mancano meno di mille copie al disco d'oro. Ci resta una settimana per regalargli un primo frammento di sogno. Ci aiutate ad aiutarlo? Regaliamo copie volentieri, vi basta chiedere!  Amici21  Alex ",#Amici21#Alex,3,0.0,Alex
1473409686011588608,saretta/alex'smalinconiastanaccount🦋🤍,2021-12-21 21:46:58+00:00,0,regalo di fine anno?dai raga vi pregoooo🙏🤍 Amici21  alexwyse  Alex  starwyse  amici2021  Amicispoiler ,#Amici21#alexwyse#Alex#starwyse#amici2021#Amicispoiler,4,0.2023,
1473409001429905411,Marta 🥑,2021-12-21 21:44:15+00:00,1,"Lo devi a te stessa, perché lo meriti e perché puoi.  Amici21  caroligi  carola ",#Amici21#caroligi#carola,3,0.0,
1473408344748699657,Francy 🧸❤,2021-12-21 21:41:38+00:00,1,Ricordiamoci che anche Giulia e Sebastian avevano problemi con l'improvvisazione; chiudete quelle boccacce e guardate bene dove sono adesso. carola ha lo stesso problema.Fate una gara sulla tecnica e vediamo come scivola in basso la tanto protetta Serena 😏Fate pena  Amici21,#carola#Amici21,4,0.34,Carola;Serena
1473408156718018564,M4r7i,2021-12-21 21:40:53+00:00,0,Comunque posso lamentarmi del fatto che non ci siano ancora basi karaoke per le canzoni di Luigi? Ci vogliamo dare una mossa quaaaa  Amici21  partiròdazero  luigi,#Amici21#partiròdazero#luigi,3,0.0,Luigi
1473407645784629259,forne,2021-12-21 21:38:52+00:00,0,cristiano è entrato lì da poco ma conforta carola più di altre persone.   carola  amici21  caroligi ,#carola#amici21#caroligi,3,0.0,
1473406101555191813,𝙲𝚑𝚒𝚊𝚛𝚊 🩰🦋🤍,2021-12-21 21:32:43+00:00,2,"Ho appena letto che mancano 650 copie per far si che Millevoci è disco d’ora, chiedetemi come sto🥺🥺  super fiera del mio bimbo 🤍🥺🐊  Amici21  albe",#Amici21#albe,5,0.5994,
1473402477001293826,marimar,2021-12-21 21:18:19+00:00,1,Perché la verità si vede nel fare ❤️ Amici21  alexWystar  Alex ,#Amici21#alexWystar#Alex,3,0.0,Alex
1473401153039777794,marimar,2021-12-21 21:13:04+00:00,0,Esatto ! 😊 pure io ho la stesa sensazione ❤️ per me lui è già un profesionista ⭐️  Amici21  Alex  alexWystar ,#Amici21#Alex#alexWystar,5,0.7424,
1473398711749431304,Alexsupporter,2021-12-21 21:03:21+00:00,8,"Ragazzi se ci impegnamo come questi ultimi giorni quindi 900 copie circa in 2 giorni, per giovedì/venerdì raggiungeremo le 35.000 copie e la Fimi avrà tutto il tempo di verificare gli acquisti.Forza ascoltiamo e acquistiamo Sogni al cielo!💪 alex  alexwyse  amici21  alexwystar",#alex#alexwyse#amici21#alexwystar,3,0.0,Alex
1473389764053188613,Francesca monterosso,2021-12-21 20:27:48+00:00,0,Per chi fosse interessato anch’io regalo copie di Muro e Partirò da zero  Amici21  luigistrangis  caroligi  carola ,#Amici21#luigistrangis#caroligi#carola,3,0.0,
1473388884537098244,anna💛si sente viva e parte da 0 sbattendo al muro,2021-12-21 20:24:18+00:00,0,"Cristiano lì da neanche 1 mese, sicuramente più amico (nel vero senso della parola) di altre persone (you know who I mean)  amici21  carola  caroligi ",#amici21#carola#caroligi,3,0.0,Carola
1473384151898275846,Taty35,2021-12-21 20:05:30+00:00,1,Si devono solo vergognare per aver spento questo meraviglioso sorriso!  Amici21  Carola  caroligi ,#Amici21#Carola#caroligi,3,0.0,
