Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1467644515712385025,LadyOscar,2021-12-05 23:58:14+00:00,0," Per me  Rea è stata da 15 non da 6,5 e francamente non capisco dove De Sica abbia sentito un 6,5. Ma conoscendolo, penso che a lui semplicemente non piaccia lo stile raffinato ed intimista di Rea. Amici21",#Rea#Amici21,3,0.0,Rea
1467644306924179458,Silviass,2021-12-05 23:57:24+00:00,1,STREMMATE QUESTA MERAVIGLIA  amemici21  Amici21  Amici21  LDALeadersList  unprofessore  lda  amici2021  ameamici20 ,#amemici21#Amici21#Amici21#LDALeadersList#unprofessore#lda#amici2021#ameamici20,3,0.0,LDA
1467642061788753923,LadyOscar,2021-12-05 23:48:29+00:00,0," Ho sempre scritto che a me la bellissima voce di  Rea ricorda Chrissie Hynde e lei che fa? Mi canta la più bella canzone dei Pretenders, la mia preferita.Sono commossa fino alle lacrime. Grazie Rea, grazie di cuore ❤️❤️❤️!! Amici21",#Rea#Amici21,2,-0.4184,Rea
1467639552852598786,🔻𝓜𝓲𝓵𝓮𝔂 🔺,2021-12-05 23:38:31+00:00,1,Luca i brividi 😭😭😭 lda  amici21 ,#lda#amici21,1,-0.8519,
1467638665279152128,Maria❤️,2021-12-05 23:34:59+00:00,0,Da brividi davvero  amici21  lda ,#amici21#lda,3,0.0,
1467638519002800133,la queen dei pali||Giusy,2021-12-05 23:34:24+00:00,1,Scusa per ciò che non ti ho mai  saputo dare💙   LDA  Amici21 ,#LDA#Amici21,5,0.6369,
1467637484481822725,🔻𝓜𝓲𝓵𝓮𝔂 🔺,2021-12-05 23:30:18+00:00,2,Mi sei rimasta dentro e non so se tu l’hai notato come un ricordo a cui non penso e non  ho cancellato....😭❤️  lda  amici21 ,#lda#amici21,2,-0.4767,
1467636785908002818,_P_1_6_,2021-12-05 23:27:31+00:00,0,Raga ognuno fa una playlist con:VivoMuroPartirò da zeroSTREAAAAAAMMM amici21  caroligi  luigi  partiròdazero,#amici21#caroligi#luigi#partiròdazero,3,0.0,Rea;Luigi
1467636596572930054,LadyOscar,2021-12-05 23:26:46+00:00,0, Quando ti confronti coi mostri sacri le difficoltà aumentano in modo esponenziale. Poi arriva  Sissi che fa sembrare tutto facile e semplice. Una bellissima voce e un'interpretazione fantastica!🤩 Grazie Sissi! Amici21,#Sissi#Amici21,3,0.0,Sissi
1467635781116346378,_P_1_6_,2021-12-05 23:23:32+00:00,0, Amici21  luigi  partiròdazero  caroligi Muro                        Partirò da zero ,#Amici21#luigi#partiròdazero#caroligi,3,0.0,
1467635765492523010,immavuoleguido,2021-12-05 23:23:28+00:00,1,acquistate!! Amici21  caroligi  luigi ,#Amici21#caroligi#luigi,3,0.0,
1467635219801026562,alice⁹¹ +365💫,2021-12-05 23:21:18+00:00,1,un altro capolavoro grande Luigi sei pazzesco  Amici21  luigi ,#Amici21#luigi,3,0.0,Luigi
1467634399005089798,🦋🦋🦋,2021-12-05 23:18:02+00:00,1,eri troppo per loro evidentemente.vali tantissimo💙 Amici21  Virginia ,#Amici21#Virginia,5,0.6369,
1467634265139687430,Chiara,2021-12-05 23:17:30+00:00,3,"Anche se non sei qui con me, ti ripeto urlando SCUSAAAA  Amici21  LDA ",#Amici21#LDA,3,0.0,
1467633869629317126,A N G E L A 🍀,2021-12-05 23:15:56+00:00,0,SCUSA.. NON SO SE STRINGERTI O LASCIARTI ANDARE.. 💔  lda  Amici20  amici21  amici  ,#lda#Amici20#amici21#amici,4,0.2732,
1467633439159504902,🦋🦋🦋,2021-12-05 23:14:13+00:00,0,per purissimo caso mica avrei l’onore di sapere secondo quali criteri Garrison ha valutato la sfida tra virginia e cosmary?  Garrison  Virginia  Amici21 ,#Garrison#Virginia#Amici21,4,0.34,Cosmary
1467633180635238405,.mannaggia.,2021-12-05 23:13:12+00:00,0,MALEDETTE LE TUE SCUSEMALEDETTE LE PAUREMALEDETTO IL DESTINO CHE MI HA FATTO INNAMORARE&gt;&gt;&gt;&gt;&gt;  Luigi  carolaeluigi  caroligi  Amici21 ,#Luigi#carolaeluigi#caroligi#Amici21,4,0.4824,
1467632920433238019,La smetti di ballare senza di me? 🩰🎸,2021-12-05 23:12:10+00:00,0,Maledetto il nostro amore Maledette le tue scuse Maledette le paure MALEDETTO ANCHE IL DESTINO CHE MI HA FATTO INNAMORARE 💛  Amici21  luigi ,#Amici21#luigi,5,0.8091,
1467632695035498503,Alessia,2021-12-05 23:11:16+00:00,0,Meraviglia ❤️la amo da morire ❤️ stream Scusa 💪🏻💪🏻 luca mio cosa ci hai regalato cuore ❤️❤️❤️ forza ragazzi facciamoci sentire ❤️❤️💪🏻📀📀  LDA  amici21 ,#LDA#amici21,3,0.0,Rea
1467632114074107904,🔻𝓜𝓲𝓵𝓮𝔂 🔺,2021-12-05 23:08:57+00:00,1,Brividi 😭  amici21  stream  lda ,#amici21#stream#lda,2,-0.4767,Rea
1467631560589549568,la queen dei pali||Giusy,2021-12-05 23:06:45+00:00,1,IO SONO INNAMORATA CAPISCI ALFONSO  Amici21  LDA ,#Amici21#LDA,3,0.0,
1467631511298060288,🔻𝓜𝓲𝓵𝓮𝔂 🔺,2021-12-05 23:06:34+00:00,3,Sto piangendo è stupenda 😭❤️  lda  amici21 ,#lda#amici21,2,-0.4767,
1467631475323543553,PIADINELLA TOGETHER CHE DITE?,2021-12-05 23:06:25+00:00,5,DI SFOGARE LA MIA RABBIAMALEDETTO IL NOSTRO AMOREMALEDETTE LE TUE SCUSEMALEDETTE LE PAUREMALEDETTO ANCHE IL DESTINO CHE MI HA FATTO INNAMORARE  Amici21  caroligi  luigi ,#Amici21#caroligi#luigi,3,0.0516,
1467631024846819328,Alessia,2021-12-05 23:04:38+00:00,1,Ci siamo finalmente ❤️stream ora💪🏻💪🏻 forza luca noi con te❤️❤️ grazie cuore per questa meraviglia ❤️❤️❤️  LDA  amici21 ,#LDA#amici21,3,0.0,Rea
1467630640992600067,𝙽𝚊𝚗𝚒♡,2021-12-05 23:03:06+00:00,0,BRIVIDI🥺 Amici21  LDA ,#Amici21#LDA,3,0.0,
1467630539788242949,domenico ▽ (Taylor's Version),2021-12-05 23:02:42+00:00,0,io a bocca aperta come lui nella copertina della canzone  Amici21  Luigi ,#Amici21#Luigi,3,0.0,Luigi
1467630493751517188,Silvia,2021-12-05 23:02:31+00:00,1,È uscito!  caroligi  Amici21  Luigi  luigistrangis  Gigi  partiròdazero  ,#caroligi#Amici21#Luigi#luigistrangis#Gigi#partiròdazero,3,0.0,Luigi
1467630337547198464,domenico ▽ (Taylor's Version),2021-12-05 23:01:54+00:00,0,LUIGI CANTAMI TUTTO QUELLO CHE VUOI IO TI ASCOLTERÒ CON IL CUORE IN MANO  Amici21  Luigi,#Amici21#Luigi,3,0.0,
1467628695045263364,Eccalla✨,2021-12-05 22:55:22+00:00,0,Ho pianto l'anima. Non eri fra i miei 3 preferiti dell'edizione ma eri il MAESTRO. E grazie per la persona che sei.  Guido  Maestro  AMICI21 ,#Guido#Maestro#AMICI21,3,0.0,
1467624940887285774,domenico ▽ (Taylor's Version),2021-12-05 22:40:27+00:00,0,ho un sonno assurdo ma devo rimanere sveglio almeno fino a mezzanotte per ascoltare la canzone di Luigi quindi non dormirò  Amici21  Luigi,#Amici21#Luigi,3,0.0,Luigi
1467620913348845582,Simona,2021-12-05 22:24:27+00:00,1,"Hanno ridato la maglia al mio bimbo, finalmente 😍😍😍vai Mattia!!!  Amici21  Mattia ",#Amici21#Mattia,5,0.8713,Mattia
1467617349834530816,RosaandChriaremykomorebi,2021-12-05 22:10:17+00:00,0,Mancherai a tutti Maestro❤❤ Non si molla!💪🏼❤  Amici21  christianstefanelli  Guido  NONSIMOLLA ,#Amici21#christianstefanelli#Guido#NONSIMOLLA,5,0.9312,
1467617114362200069,Hope,2021-12-05 22:09:21+00:00,1,"Ma la Celentano non può sostituire Cosmary con Virginia,visto che ha questo potere di usare la SOSTITUZIONE Amicispoiler  Amici21  Virginia",#Amicispoiler#Amici21#Virginia,4,0.34,Cosmary
1467616763340894208,.mannaggia.,2021-12-05 22:07:58+00:00,0,è caricoooo  Luigi  caroligi  Amici21 ,#Luigi#caroligi#Amici21,3,0.0,Luigi
1467615805256916992,Hope,2021-12-05 22:04:09+00:00,0,"Mio padre che non sa nulla di danza Alla sfida di Virginia fa:Ma è ovvio che vince V,che sfida ridicola, ma l'altra che mosse ha fatto,con tutto il rispetto,da persona ignorante che sono, vince V a mani alte. Amicispoiler  Amici21  Virginia",#Amicispoiler#Amici21#Virginia,4,0.34,
1467607433585606657,Antonio_teddy🧸,2021-12-05 21:30:53+00:00,0,Toc toc Ad ansia come stiamo messi?? gc  luigi  Amici21 ,#gc#luigi#Amici21,3,0.0,
1467605166446809106,Morelembaum,2021-12-05 21:21:53+00:00,0,“E che je voi dì’ ?!” Amici21  amici2021  desica  Sissi,#Amici21#amici2021#desica#Sissi,3,0.0,
1467600823786119172,Chiara,2021-12-05 21:04:37+00:00,2,Per me è questa foto. Amici21  guido  nonsimolla ,#Amici21#guido#nonsimolla,3,0.0,
1467597537481744386,Yle,2021-12-05 20:51:34+00:00,2,Comunque Todaro che applaude ad ogni esibizione di Alex è una certezza 😂  amici21  Amici  alex  alexwyse,#amici21#Amici#alex#alexwyse,4,0.4404,Alex
1467595803376160779,lucia loves rea,2021-12-05 20:44:40+00:00,5,retwittate per avere una bella giornata domani. stream per i 25k  caroligi  amici21  carola ,#caroligi#amici21#carola,3,0.0,Rea
1467592287807062020,blucobalto,2021-12-05 20:30:42+00:00,1,A mezzanotte uscirà il nuovo inedito di  Luigi  partiródazero Commenta se anche tu rimarrai sveglio per ascoltarla!Vi lascio il link della playlist da seguire e che aggiorneremo. Amici21  caroligi ,#Luigi#partiródazero#Amici21#caroligi,3,0.0,
1467592106302709765,La smetti di ballare senza di me? 🩰🎸,2021-12-05 20:29:59+00:00,10,– Ti aspetterei fino all'ultimo respiro. Perché è con te che io mi sento vivo– Cuori a duecento all'ora ogni volta. Come quei sogni violenti che abbiamo sbattuto al muro– Ogni posto era perfetto e ci bastava stare insiemeDOBBIAMO STREAMMARE💛 Amici21  luigistrangis  Luigi ,#Amici21#luigistrangis#Luigi,5,0.6369,Rea
