Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,0,0,0
Liner,0,0,0,0,0
Alex,0,0,7,1,5
Sissi,0,0,2,0,0
Luigi,0,0,6,1,0
LDA,0,0,1,0,0
Albe,0,0,1,0,0
Nicole,0,0,0,0,0
Rea,0,0,1,0,1
Aisha,0,0,0,0,0
Elena,0,0,0,0,0
Cosmary,0,0,0,0,0
Dario,0,0,1,0,0
Serena,0,1,0,0,0
Carola,0,1,5,0,0
Christian,0,1,4,0,1
Mattia,0,0,5,0,0
