Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,0,0,0
Liner,0,0,0,0,0
Alex,1,2,6,2,1
Sissi,0,0,0,0,0
Luigi,0,0,2,0,1
LDA,0,0,3,0,1
Albe,0,0,0,0,0
Nicole,0,0,0,0,0
Rea,0,0,0,0,1
Aisha,0,0,0,0,0
Elena,0,0,2,1,0
Cosmary,0,0,0,0,0
Dario,0,0,2,0,1
Serena,0,0,1,1,1
Carola,1,0,5,0,1
Christian,0,6,18,6,9
Mattia,0,4,14,5,6
