Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,0,0,0
Liner,0,0,0,0,0
Alex,1,0,20,2,3
Sissi,0,0,0,0,0
Luigi,0,0,3,1,0
LDA,0,1,0,0,0
Albe,0,0,0,0,0
Nicole,0,0,0,0,0
Rea,0,0,2,1,0
Aisha,0,0,0,0,0
Elena,0,0,0,0,0
Cosmary,0,0,0,0,0
Dario,0,1,0,1,0
Serena,0,1,3,1,0
Carola,2,2,12,7,2
Christian,0,0,2,0,1
Mattia,0,0,4,1,3
