Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,1,5,1,0
Liner,0,0,0,0,0
Alex,0,2,5,3,4
Sissi,0,0,1,0,0
Luigi,0,1,10,2,2
LDA,0,0,0,3,0
Albe,0,0,1,1,0
Nicole,0,0,3,0,0
Rea,0,0,1,1,0
Aisha,0,0,0,0,0
Elena,0,0,3,2,1
Cosmary,0,0,3,0,0
Dario,0,0,1,0,0
Serena,0,0,0,1,1
Carola,0,0,10,3,1
Christian,1,2,11,7,4
Mattia,1,2,7,2,2
