Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,0,0,0
Liner,0,0,0,0,0
Alex,3,1,16,3,1
Sissi,0,1,1,1,1
Luigi,0,1,3,1,1
LDA,0,0,2,0,0
Albe,0,0,7,0,0
Nicole,0,0,0,0,0
Rea,0,0,2,0,0
Aisha,0,0,0,0,0
Elena,0,0,0,1,0
Cosmary,0,0,8,2,0
Dario,0,1,3,0,1
Serena,0,1,2,0,0
Carola,1,1,7,3,1
Christian,0,0,6,0,0
Mattia,0,0,5,0,0
