Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,1,0,0
Liner,0,0,0,0,0
Alex,0,1,14,4,3
Sissi,0,0,1,0,0
Luigi,0,1,2,1,0
LDA,0,0,2,0,0
Albe,0,0,4,2,0
Nicole,0,0,0,0,0
Rea,0,1,1,0,0
Aisha,0,0,1,0,0
Elena,0,1,0,0,1
Cosmary,0,2,4,2,1
Dario,0,1,1,3,1
Serena,0,2,2,1,1
Carola,0,3,2,3,1
Christian,0,1,4,4,0
Mattia,0,2,8,4,1
