Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,0,0,0
Liner,0,0,0,0,0
Alex,0,1,21,4,2
Sissi,0,0,4,1,1
Luigi,0,0,5,0,1
LDA,0,0,4,1,2
Albe,0,1,0,0,0
Nicole,0,0,0,0,0
Rea,0,0,0,0,0
Aisha,0,0,1,0,0
Elena,0,0,0,1,1
Cosmary,0,0,0,0,0
Dario,0,0,4,2,0
Serena,0,2,1,0,1
Carola,0,0,3,0,1
Christian,0,0,4,3,1
Mattia,0,0,0,1,2
