Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,0,0,0
Liner,0,0,0,0,0
Alex,0,0,15,2,1
Sissi,0,0,0,0,0
Luigi,0,0,3,0,1
LDA,0,0,3,0,1
Albe,0,0,3,2,0
Nicole,0,0,0,0,0
Rea,0,0,0,0,1
Aisha,0,0,1,0,0
Elena,0,0,0,0,0
Cosmary,0,0,0,0,0
Dario,0,0,0,0,1
Serena,0,0,1,0,0
Carola,1,0,0,2,0
Christian,1,2,10,4,1
Mattia,0,1,2,2,0
