Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Crytical,0,0,11,1,1
Liner,0,0,0,0,0
Alex,0,1,17,3,0
Sissi,0,2,1,2,0
Luigi,0,1,4,1,0
LDA,0,0,0,0,2
Albe,0,0,0,0,0
Nicole,0,0,0,0,0
Rea,0,1,1,0,0
Aisha,0,0,0,0,0
Elena,0,0,0,0,0
Cosmary,0,0,3,0,0
Dario,0,2,1,2,1
Serena,0,0,0,0,0
Carola,0,0,0,0,0
Christian,0,0,3,1,1
Mattia,0,0,1,0,0
